id,company_id,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe
1,HDFCBANK,10Years:21%,10Years:22%,10Years:15%,10Years:17%
10,SBILIFE,5Years:24%,5Years:6%,5Years:8%,5Years14%
11,SBILIFE,3Years:17%,3Years:9%,3Years:7%,3Years:13%
12,SBILIFE,TTM:43%,TTM:18%,1Year:-2%,LastYear:12%
13,TCS,10Years:11%,10Years:9%,10Years:14%,10Years:40%
14,TCS,5Years:10%,5Years:8%,5Years:16%,5Years:44%
15,TCS,3Years:14%,3Years:12%,3Years:8%,3Years:47%
16,TCS,TTM:5%,TTM:8%,1Year:16%,LastYear:52%
17,WIPRO,10Years:8%,10Years:3%,10Years:12%,10Years:18%
18,WIPRO,5Years:9%,5Years:4%,5Years:20%,5Years:17%
19,WIPRO,3Years:13%,3Years:0%,3Years:-1%,3Years:17%
2,HDFCBANK,5Years:22%,5Years:23%,5Years:8%,5Years:17%
20,WIPRO,TTM:-3%,TTM:1%,1Year:39%,LastYear:14%
3,HDFCBANK,3Years:30%,3Years:26%,3Years:8%,3Years:17%
4,HDFCBANK,TTM:47%,TTM:27%,1Year:13%,LastYear:17%
5,INFY,10Years:12%,10Years:9%,10Years:15%,10Years:27%
6,INFY,5Years:13%,5Years:11%,5Years:22%,5Years:29%
7,INFY,3Years:5%,3Years:10%,3Years:4%,3Years:31%
8,INFY,TTM:3%,TTM:8%,1Year:27%,LastYear:32%
9,SBILIFE,10Years:23%,10Years:9%,10Years:9%,10Years:16%
